Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-74d9,checkpoint-9nfr,checkpoint-33a1,Randomise questionnaire elements?,Question Key,Response
1,1.70E+12,25.10.2023 10:37,1.70E+12,2,25.10.2023 12:37,142915,16,questionnaire-zt1x,,32478295,nzv6tssh,9612157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,5120x1440,3164x1273,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,BEGIN QUESTIONNAIRE,
2,1.70E+12,25.10.2023 10:39,1.70E+12,2,25.10.2023 12:39,142915,16,questionnaire-zt1x,,32478295,nzv6tssh,9612157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,5120x1440,3147x1273,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,1_dob-month,4
3,1.70E+12,25.10.2023 10:39,1.70E+12,2,25.10.2023 12:39,142915,16,questionnaire-zt1x,,32478295,nzv6tssh,9612157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,5120x1440,3147x1273,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,1_dob-year,1995
4,1.70E+12,25.10.2023 10:39,1.70E+12,2,25.10.2023 12:39,142915,16,questionnaire-zt1x,,32478295,nzv6tssh,9612157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,5120x1440,3147x1273,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,2_pob,Irak
5,1.70E+12,25.10.2023 10:39,1.70E+12,2,25.10.2023 12:39,142915,16,questionnaire-zt1x,,32478295,nzv6tssh,9612157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,5120x1440,3147x1273,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,3_residence,Trondheim
6,1.70E+12,25.10.2023 10:39,1.70E+12,2,25.10.2023 12:39,142915,16,questionnaire-zt1x,,32478295,nzv6tssh,9612157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,5120x1440,3147x1273,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,4_handedness,venstrehendt
7,1.70E+12,25.10.2023 10:39,1.70E+12,2,25.10.2023 12:39,142915,16,questionnaire-zt1x,,32478295,nzv6tssh,9612157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,5120x1440,3147x1273,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,4_handedness-quantised,2
8,1.70E+12,25.10.2023 10:39,1.70E+12,2,25.10.2023 12:39,142915,16,questionnaire-zt1x,,32478295,nzv6tssh,9612157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,5120x1440,3147x1273,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,5_hearinglevel,Alvorlig hørselstap (>90 dB)
9,1.70E+12,25.10.2023 10:39,1.70E+12,2,25.10.2023 12:39,142915,16,questionnaire-zt1x,,32478295,nzv6tssh,9612157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,5120x1440,3147x1273,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,5_hearinglevel-quantised,1
10,1.70E+12,25.10.2023 10:39,1.70E+12,2,25.10.2023 12:39,142915,16,questionnaire-zt1x,,32478295,nzv6tssh,9612157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,5120x1440,3147x1273,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,6_hearing-aids,ja
11,1.70E+12,25.10.2023 10:39,1.70E+12,2,25.10.2023 12:39,142915,16,questionnaire-zt1x,,32478295,nzv6tssh,9612157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,5120x1440,3147x1273,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,6_hearing-aids-quantised,1
12,1.70E+12,25.10.2023 10:39,1.70E+12,2,25.10.2023 12:39,142915,16,questionnaire-zt1x,,32478295,nzv6tssh,9612157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,5120x1440,3147x1273,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,6a_CI,ja
13,1.70E+12,25.10.2023 10:39,1.70E+12,2,25.10.2023 12:39,142915,16,questionnaire-zt1x,,32478295,nzv6tssh,9612157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,5120x1440,3147x1273,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,6a_CI-quantised,1
14,1.70E+12,25.10.2023 10:39,1.70E+12,2,25.10.2023 12:39,142915,16,questionnaire-zt1x,,32478295,nzv6tssh,9612157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,5120x1440,3147x1273,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,6b_CIage,13
15,1.70E+12,25.10.2023 10:39,1.70E+12,2,25.10.2023 12:39,142915,16,questionnaire-zt1x,,32478295,nzv6tssh,9612157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,5120x1440,3147x1273,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,7_deafnessreason,Vet ikke
16,1.70E+12,25.10.2023 10:39,1.70E+12,2,25.10.2023 12:39,142915,16,questionnaire-zt1x,,32478295,nzv6tssh,9612157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,5120x1440,3147x1273,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,8_born-deaf,ja
17,1.70E+12,25.10.2023 10:39,1.70E+12,2,25.10.2023 12:39,142915,16,questionnaire-zt1x,,32478295,nzv6tssh,9612157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,5120x1440,3147x1273,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,8_born-deaf-quantised,1
18,1.70E+12,25.10.2023 10:39,1.70E+12,2,25.10.2023 12:39,142915,16,questionnaire-zt1x,,32478295,nzv6tssh,9612157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,5120x1440,3147x1273,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,8a_deafness-age,
