Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-74d9,checkpoint-9nfr,checkpoint-33a1,randomiser-pv2z,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: item,Spreadsheet: nsl_id_gloss,Spreadsheet: norsk_video,Spreadsheet: picture_name,Spreadsheet: trial_number,Manipulation: Spreadsheet,Store: progress
1,1696326991332,03/10/2023 09:56:31,1696334191332,2,03/10/2023 13:56:31,142915,11,task-qcg3,,32000805,BLIND,9462565,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,810x1080,1080x707,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list1,survey_list,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1696327057010,03/10/2023 09:57:37,1696334257010,2,03/10/2023 13:57:37,142915,11,task-qcg3,,32000805,BLIND,9462565,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,810x1080,1080x707,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list1,survey_list,1,Instructions,Screen 1,apt9h7,1,continue,,65477,65465,65477,65477,65465,65477,1,65477,0,0,,Click To Continue,Continue Button,2,object-4,Instructions,,,,,,,
3,1696327057360,03/10/2023 09:57:37,1696334257360,2,03/10/2023 13:57:37,142915,11,task-qcg3,,32000805,BLIND,9462565,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,810x1080,1080x707,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list1,survey_list,1,trial,Screen 1,9lhd9n,1,info,Video start,150.89137463920505,145,150.89137463920505,150.89137463920505,145,150.89137463920505,1,150.89137463920505,0,0,,Video,Video,2,object-8,trial,children,barn,Barn.mp4,Children 1.jpg,1,,1
4,1696327066598,03/10/2023 09:57:46,1696334266598,2,03/10/2023 13:57:46,142915,11,task-qcg3,,32000805,BLIND,9462565,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,810x1080,1080x707,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list1,survey_list,1,trial,Screen 1,9lhd9n,1,continue,,9598,9581,9598,9598,9581,9598,1,9598,0,0,,Click To Continue,Continue Button,10,object-24,trial,children,barn,Barn.mp4,Children 1.jpg,1,,2
5,1696327066599,03/10/2023 09:57:46,1696334266599,2,03/10/2023 13:57:46,142915,11,task-qcg3,,32000805,BLIND,9462565,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,810x1080,1080x707,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list1,survey_list,1,trial,Screen 1,9lhd9n,1,response,7,4098,9581,9598,4098,9581,9598,1,4098,5500,0,,Rating Scale,Familiarity,5,object-10,trial,children,barn,Barn.mp4,Children 1.jpg,1,,3
6,1696327066600,03/10/2023 09:57:46,1696334266600,2,03/10/2023 13:57:46,142915,11,task-qcg3,,32000805,BLIND,9462565,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,810x1080,1080x707,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list1,survey_list,1,trial,Screen 1,9lhd9n,1,response,yes,6281,9581,9598,6281,9581,9598,1,6281,3317,0,,Rating Scale,Use,7,object-12,trial,children,barn,Barn.mp4,Children 1.jpg,1,,4
7,1696327066600,03/10/2023 09:57:46,1696334266600,2,03/10/2023 13:57:46,142915,11,task-qcg3,,32000805,BLIND,9462565,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,810x1080,1080x707,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list1,survey_list,1,trial,Screen 1,9lhd9n,1,response,4,8614,9581,9598,8614,9581,9598,1,8614,984,0,,Rating Scale,Similarity,9,object-14,trial,children,barn,Barn.mp4,Children 1.jpg,1,,5
8,1696327066930,03/10/2023 09:57:46,1696334266930,2,03/10/2023 13:57:46,142915,11,task-qcg3,,32000805,BLIND,9462565,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,810x1080,1080x707,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list1,survey_list,2,trial,Screen 1,9lhd9n,1,info,Video start,136.74237470109333,128,136.74237470109333,136.74237470109333,128,136.74237470109333,1,136.74237470109333,0,0,,Video,Video,2,object-8,trial,flower,blomst,Blomst.mp4,Flower 1.jpg,2,,6
9,1696327076109,03/10/2023 09:57:56,1696334276109,2,03/10/2023 13:57:56,142915,11,task-qcg3,,32000805,BLIND,9462565,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,810x1080,1080x707,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list1,survey_list,2,trial,Screen 1,9lhd9n,1,continue,,9496,9480,9496,9496,9480,9496,1,9496,0,0,,Click To Continue,Continue Button,10,object-24,trial,flower,blomst,Blomst.mp4,Flower 1.jpg,2,,7
10,1696327076114,03/10/2023 09:57:56,1696334276114,2,03/10/2023 13:57:56,142915,11,task-qcg3,,32000805,BLIND,9462565,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,810x1080,1080x707,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list1,survey_list,2,trial,Screen 1,9lhd9n,1,response,7,3917,9480,9496,3917,9480,9496,1,3917,5579,0,,Rating Scale,Familiarity,5,object-10,trial,flower,blomst,Blomst.mp4,Flower 1.jpg,2,,8
