Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-74d9,checkpoint-9nfr,checkpoint-33a1,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: item,Spreadsheet: nsl_id_gloss,Spreadsheet: norsk_video,Spreadsheet: picture_name,Spreadsheet: trial_number,Manipulation: Spreadsheet,Store: progress
1,1698509732863,28/10/2023 16:15:32,1698516932863,2,28/10/2023 20:15:32,142915,17,task-qcg3,,32550168,gn8mwswy,9631781,,rejected - time limit reached,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1436x698,,,0,familiarity ratings,30,Not on phone,,,survey_list,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1698509865554,28/10/2023 16:17:45,1698517065554,2,28/10/2023 20:17:45,142915,17,task-qcg3,,32550168,gn8mwswy,9631781,,rejected - time limit reached,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1436x698,,,0,familiarity ratings,30,Not on phone,,,survey_list,1,Instructions,Screen 1,apt9h7,1,continue,,130965,130959,130965,130965,130959,130965,1,130965,0,0,,Click To Continue,Continue Button,2,object-4,Instructions,,,,,,,
3,1698509865900,28/10/2023 16:17:45,1698517065900,2,28/10/2023 20:17:45,142915,17,task-qcg3,,32550168,gn8mwswy,9631781,,rejected - time limit reached,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1436x698,,,0,familiarity ratings,30,Not on phone,,,survey_list,1,trial,Screen 1,9lhd9n,1,info,Video start,146.03668800027157,141,146.03668800027157,146.03668800027157,141,146.03668800027157,1,146.03668800027157,0,0,,Video,Video,2,object-8,trial,children,barn,Barn.mp4,Children 1.jpg,1,,1
4,1698509949917,28/10/2023 16:19:09,1698517149917,2,28/10/2023 20:19:09,142915,17,task-qcg3,,32550168,gn8mwswy,9631781,,rejected - time limit reached,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1436x698,,,0,familiarity ratings,30,Not on phone,,,survey_list,1,trial,Screen 1,9lhd9n,1,continue,,84361,84356,84361,84361,84356,84361,1,84361,0,0,,Click To Continue,Continue Button,10,object-24,trial,children,barn,Barn.mp4,Children 1.jpg,1,,2
5,1698509949922,28/10/2023 16:19:09,1698517149922,2,28/10/2023 20:19:09,142915,17,task-qcg3,,32550168,gn8mwswy,9631781,,rejected - time limit reached,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1436x698,,,0,familiarity ratings,30,Not on phone,,,survey_list,1,trial,Screen 1,9lhd9n,1,response,6,62854,84356,84371,62854,84356,84371,1,62854,21517,0,,Rating Scale,Familiarity,5,object-10,trial,children,barn,Barn.mp4,Children 1.jpg,1,,3
6,1698509949923,28/10/2023 16:19:09,1698517149923,2,28/10/2023 20:19:09,142915,17,task-qcg3,,32550168,gn8mwswy,9631781,,rejected - time limit reached,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1436x698,,,0,familiarity ratings,30,Not on phone,,,survey_list,1,trial,Screen 1,9lhd9n,1,response,yes,66638,84356,84373,66638,84356,84373,1,66638,17735,0,,Rating Scale,Use,7,object-12,trial,children,barn,Barn.mp4,Children 1.jpg,1,,4
7,1698509949924,28/10/2023 16:19:09,1698517149924,2,28/10/2023 20:19:09,142915,17,task-qcg3,,32550168,gn8mwswy,9631781,,rejected - time limit reached,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1436x698,,,0,familiarity ratings,30,Not on phone,,,survey_list,1,trial,Screen 1,9lhd9n,1,response,6,77839,84356,84373,77839,84356,84373,1,77839,6534,0,,Rating Scale,Similarity,9,object-14,trial,children,barn,Barn.mp4,Children 1.jpg,1,,5
8,1698509950282,28/10/2023 16:19:10,1698517150282,2,28/10/2023 20:19:10,142915,17,task-qcg3,,32550168,gn8mwswy,9631781,,rejected - time limit reached,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1436x698,,,0,familiarity ratings,30,Not on phone,,,survey_list,2,trial,Screen 1,9lhd9n,1,info,Video start,207.46500100003274,197,207.46500100003274,207.46500100003274,197,207.46500100003274,1,207.46500100003274,0,0,,Video,Video,2,object-8,trial,flower,blomst,Blomst.mp4,Flower 1.jpg,2,,6
9,1698509974415,28/10/2023 16:19:34,1698517174415,2,28/10/2023 20:19:34,142915,17,task-qcg3,,32550168,gn8mwswy,9631781,,rejected - time limit reached,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1436x698,,,0,familiarity ratings,30,Not on phone,,,survey_list,2,trial,Screen 1,9lhd9n,1,continue,,24508.00000000003,24501,24508.00000000003,24508.00000000003,24501,24508.00000000003,1,24508.00000000003,0,0,,Click To Continue,Continue Button,10,object-24,trial,flower,blomst,Blomst.mp4,Flower 1.jpg,2,,7
10,1698509974424,28/10/2023 16:19:34,1698517174424,2,28/10/2023 20:19:34,142915,17,task-qcg3,,32550168,gn8mwswy,9631781,,rejected - time limit reached,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1436x698,,,0,familiarity ratings,30,Not on phone,,,survey_list,2,trial,Screen 1,9lhd9n,1,response,7,11067,24501,24516,11067,24501,24516,1,11067,13449,0,,Rating Scale,Familiarity,5,object-10,trial,flower,blomst,Blomst.mp4,Flower 1.jpg,2,,8
11,1698509974425,28/10/2023 16:19:34,1698517174425,2,28/10/2023 20:19:34,142915,17,task-qcg3,,32550168,gn8mwswy,9631781,,rejected - time limit reached,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1436x698,,,0,familiarity ratings,30,Not on phone,,,survey_list,2,trial,Screen 1,9lhd9n,1,response,yes,13950,24501,24518,13950,24501,24518,1,13950,10568,0,,Rating Scale,Use,7,object-12,trial,flower,blomst,Blomst.mp4,Flower 1.jpg,2,,9
12,1698509974426,28/10/2023 16:19:34,1698517174426,2,28/10/2023 20:19:34,142915,17,task-qcg3,,32550168,gn8mwswy,9631781,,rejected - time limit reached,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1436x698,,,0,familiarity ratings,30,Not on phone,,,survey_list,2,trial,Screen 1,9lhd9n,1,response,7,20318,24501,24518,20318,24501,24518,1,20318,4200,0,,Rating Scale,Similarity,9,object-14,trial,flower,blomst,Blomst.mp4,Flower 1.jpg,2,,10
13,1698509974768,28/10/2023 16:19:34,1698517174768,2,28/10/2023 20:19:34,142915,17,task-qcg3,,32550168,gn8mwswy,9631781,,rejected - time limit reached,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1436x698,,,0,familiarity ratings,30,Not on phone,,,survey_list,3,trial,Screen 1,9lhd9n,1,info,Video start,146.13352400006926,142,146.13352400006926,146.13352400006926,142,146.13352400006926,1,146.13352400006926,0,0,,Video,Video,2,object-8,trial,book,bok,Bok.mp4,Book 1.jpg,3,,11
