Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-74d9,checkpoint-9nfr,checkpoint-33a1,randomiser-pv2z,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: picture,Spreadsheet: video,Spreadsheet: correct,Spreadsheet: condition,Spreadsheet: item,Spreadsheet: index,Spreadsheet: trial,Spreadsheet: randomise_trials,Manipulation: Spreadsheet,Store: correct,Store: total
1,1696496179953,05/10/2023 08:56:19,1696503379953,2,05/10/2023 12:56:19,142915,11,task-eu79,,32043953,BLIND,9476778,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,3840x1200,3792x1078,Accepted,,0,experiment list1,105,Not on phone,Accepted,,list1,nsl_list1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,
2,1696496182240,05/10/2023 08:56:22,1696503382240,2,05/10/2023 12:56:22,142915,11,task-eu79,,32043953,BLIND,9476778,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,3840x1200,3792x1078,Accepted,,0,experiment list1,105,Not on phone,Accepted,,list1,nsl_list1,1,instructions,Screen 1,9upwou,1,info,Video start,2021.1549999821186,2006.355,2021.1549999821186,2021.1549999821186,2006.355,2021.1549999821186,1,2021.1549999821186,0,0,,Video,Experimental instructions,3,object-161,instructions,,,,,,,,,,,
3,1696496203014,05/10/2023 08:56:43,1696503403014,2,05/10/2023 12:56:43,142915,11,task-eu79,,32043953,BLIND,9476778,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,3840x1200,3792x1078,Accepted,,0,experiment list1,105,Not on phone,Accepted,,list1,nsl_list1,1,instructions,Screen 1,9upwou,1,continue,,22795.62499999404,22786.903000000002,22795.62499999404,22795.62499999404,22786.903000000002,22795.62499999404,1,22795.62499999404,0,0,,Space To Continue,Continue Button,2,object-48,instructions,,,,,,,,,,,
4,1696496203017,05/10/2023 08:56:43,1696503403017,2,05/10/2023 12:56:43,142915,11,task-eu79,,32043953,BLIND,9476778,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,3840x1200,3792x1078,Accepted,,0,experiment list1,105,Not on phone,Accepted,,list1,nsl_list1,1,instructions,Screen 1,9upwou,1,continue,,22798.72499998808,22786.903000000002,22798.72499998808,22798.72499998808,22786.903000000002,22798.72499998808,1,22798.72499998808,0,0,,Space To Continue,Continue Button,2,object-48,instructions,,,,,,,,,,,
5,1696496203508,05/10/2023 08:56:43,1696503403508,2,05/10/2023 12:56:43,142915,11,task-eu79,,32043953,BLIND,9476778,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,3840x1200,3792x1078,Accepted,,0,experiment list1,105,Not on phone,Accepted,,list1,nsl_list1,1,nomatch,Screen 1,8mz8sc,1,continue,,501.60299999999916,501.60299999999916,501.60299999999916,501.60299999999916,501.60299999999916,501.60299999999916,1,501.60299999999916,0,0,,Fixation Timing,,1,object-186,nomatch,Jump 2.jpg,Diplom.mp4,different,different,na,87,foil,1,,,
6,1696496204511,05/10/2023 08:56:44,1696503404511,2,05/10/2023 12:56:44,142915,11,task-eu79,,32043953,BLIND,9476778,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,3840x1200,3792x1078,Accepted,,0,experiment list1,105,Not on phone,Accepted,,list1,nsl_list1,1,nomatch,Screen 2,zhfxqk,2,timedOut,,1003.8189999821188,1003.0349999999999,1003.8189999821188,1003.8189999821188,1003.0349999999999,1003.8189999821188,0,1003.8189999821188,0,0,,Time Limit,screen,0,screen,nomatch,Jump 2.jpg,Diplom.mp4,different,different,na,87,foil,1,,,
7,1696496204813,05/10/2023 08:56:44,1696503404813,2,05/10/2023 12:56:44,142915,11,task-eu79,,32043953,BLIND,9476778,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,3840x1200,3792x1078,Accepted,,0,experiment list1,105,Not on phone,Accepted,,list1,nsl_list1,1,nomatch,Screen 3,d73ena,3,timedOut,,302.783999982119,301.005000000001,302.783999982119,302.783999982119,301.005000000001,302.783999982119,1,302.783999982119,0,0,,Time Limit,screen,0,screen,nomatch,Jump 2.jpg,Diplom.mp4,different,different,na,87,foil,1,,,
8,1696496204833,05/10/2023 08:56:44,1696503404833,2,05/10/2023 12:56:44,142915,11,task-eu79,,32043953,BLIND,9476778,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,3840x1200,3792x1078,Accepted,,0,experiment list1,105,Not on phone,Accepted,,list1,nsl_list1,1,nomatch,Screen 4,kfk7dt,4,info,Video start,21.56799998807843,16.45100000000093,21.56799998807843,21.56799998807843,16.45100000000093,21.56799998807843,0,21.56799998807843,0,0,,Video,video,1,object-204,nomatch,Jump 2.jpg,Diplom.mp4,different,different,na,87,foil,1,,,
9,1696496214612,05/10/2023 08:56:54,1696503414612,2,05/10/2023 12:56:54,142915,11,task-eu79,,32043953,BLIND,9476778,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,3840x1200,3792x1078,Accepted,,0,experiment list1,105,Not on phone,Accepted,,list1,nsl_list1,1,nomatch,Screen 4,kfk7dt,4,response,nomatch,9800.678999988078,9796.635000000002,9800.678999988078,9800.678999988078,9796.635000000002,9800.678999988078,0,9800.678999988078,0,0,,Keyboard Response,Keyboard Response,6,object-209,nomatch,Jump 2.jpg,Diplom.mp4,different,different,na,87,foil,1,,,
10,1696496215110,05/10/2023 08:56:55,1696503415110,2,05/10/2023 12:56:55,142915,11,task-eu79,,32043953,BLIND,9476778,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,3840x1200,3792x1078,Accepted,,0,experiment list1,105,Not on phone,Accepted,,list1,nsl_list1,1,match,Screen 1,nmofvp,1,continue,,501.62199999999575,501.62199999999575,501.62199999999575,501.62199999999575,501.62199999999575,501.62199999999575,1,501.62199999999575,0,0,,Fixation Timing,,1,object-167,match,Travel 2.jpg,Reise.mp4,same,different,travel,21,target,1,,,
11,1696496216113,05/10/2023 08:56:56,1696503416113,2,05/10/2023 12:56:56,142915,11,task-eu79,,32043953,BLIND,9476778,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,3840x1200,3792x1078,Accepted,,0,experiment list1,105,Not on phone,Accepted,,list1,nsl_list1,1,match,Screen 2,pevo7u,2,timedOut,,1003.7220000000016,1003.1310000000012,1003.7220000000016,1003.7220000000016,1003.1310000000012,1003.7220000000016,0,1003.7220000000016,0,0,,Time Limit,screen,0,screen,match,Travel 2.jpg,Reise.mp4,same,different,travel,21,target,1,,,
