Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-74d9,checkpoint-9nfr,checkpoint-33a1,randomiser-pv2z,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: picture,Spreadsheet: video,Spreadsheet: correct,Spreadsheet: condition,Spreadsheet: item,Spreadsheet: index,Spreadsheet: trial,Spreadsheet: randomise_trials,Manipulation: Spreadsheet,Store: correct,Store: total
1,1696509913476,05/10/2023 12:45:13,1696517113476,2,05/10/2023 16:45:13,142915,11,task-n49w,,32050231,wh8dvie9,9479027,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1200,1920x1075,Accepted,,0,experiment list2,23,Not on phone,Accepted,,list2,nsl_list2,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,
2,1696509915673,05/10/2023 12:45:15,1696517115673,2,05/10/2023 16:45:15,142915,11,task-n49w,,32050231,wh8dvie9,9479027,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1200,1920x1075,Accepted,,0,experiment list2,23,Not on phone,Accepted,,list2,nsl_list2,1,instructions,Screen 1,9upwou,1,info,Video start,2022.162999999255,2017.1620000000003,2022.162999999255,2022.162999999255,2017.1620000000003,2022.162999999255,1,2022.162999999255,0,0,,Video,Experimental instructions,3,object-161,instructions,,,,,,,,,,,
3,1696509918760,05/10/2023 12:45:18,1696517118760,2,05/10/2023 16:45:18,142915,11,task-n49w,,32050231,wh8dvie9,9479027,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1200,1920x1075,Accepted,,0,experiment list2,23,Not on phone,Accepted,,list2,nsl_list2,1,instructions,Screen 1,9upwou,1,continue,,5109.23499999851,5100.254,5109.23499999851,5109.23499999851,5100.254,5109.23499999851,1,5109.23499999851,0,0,,Space To Continue,Continue Button,2,object-48,instructions,,,,,,,,,,,
4,1696509918761,05/10/2023 12:45:18,1696517118761,2,05/10/2023 16:45:18,142915,11,task-n49w,,32050231,wh8dvie9,9479027,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1200,1920x1075,Accepted,,0,experiment list2,23,Not on phone,Accepted,,list2,nsl_list2,1,instructions,Screen 1,9upwou,1,continue,,5111.335,5100.254,5111.335,5111.335,5100.254,5111.335,1,5111.335,0,0,,Space To Continue,Continue Button,2,object-48,instructions,,,,,,,,,,,
5,1696509919251,05/10/2023 12:45:19,1696517119251,2,05/10/2023 16:45:19,142915,11,task-n49w,,32050231,wh8dvie9,9479027,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1200,1920x1075,Accepted,,0,experiment list2,23,Not on phone,Accepted,,list2,nsl_list2,1,match,Screen 1,nmofvp,1,continue,,499.4830000000002,499.4830000000002,499.4830000000002,499.4830000000002,499.4830000000002,499.4830000000002,1,499.4830000000002,0,0,,Fixation Timing,,1,object-167,match,Frog 2.jpg,Frosk.mp4,same,same,frog,6,target,1,,,
6,1696509920255,05/10/2023 12:45:20,1696517120255,2,05/10/2023 16:45:20,142915,11,task-n49w,,32050231,wh8dvie9,9479027,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1200,1920x1075,Accepted,,0,experiment list2,23,Not on phone,Accepted,,list2,nsl_list2,1,match,Screen 2,pevo7u,2,timedOut,,1001.098,1000.531,1001.098,1001.098,1000.531,1001.098,0,1001.098,0,0,,Time Limit,screen,0,screen,match,Frog 2.jpg,Frosk.mp4,same,same,frog,6,target,1,,,
7,1696509920551,05/10/2023 12:45:20,1696517120551,2,05/10/2023 16:45:20,142915,11,task-n49w,,32050231,wh8dvie9,9479027,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1200,1920x1075,Accepted,,0,experiment list2,23,Not on phone,Accepted,,list2,nsl_list2,1,match,Screen 3,z1irvt,3,timedOut,,301.26699999925495,299.90299999999934,301.26699999925495,301.26699999925495,299.90299999999934,301.26699999925495,1,301.26699999925495,0,0,,Time Limit,screen,0,screen,match,Frog 2.jpg,Frosk.mp4,same,same,frog,6,target,1,,,
8,1696509920602,05/10/2023 12:45:20,1696517120602,2,05/10/2023 16:45:20,142915,11,task-n49w,,32050231,wh8dvie9,9479027,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1200,1920x1075,Accepted,,0,experiment list2,23,Not on phone,Accepted,,list2,nsl_list2,1,match,Screen 4,9wlxvm,4,info,Video start,52.223999997765496,49.45100000000093,52.223999997765496,52.223999997765496,49.45100000000093,52.223999997765496,1,52.223999997765496,0,0,,Video,video,1,object-178,match,Frog 2.jpg,Frosk.mp4,same,same,frog,6,target,1,,,
9,1696509940303,05/10/2023 12:45:40,1696517140303,2,05/10/2023 16:45:40,142915,11,task-n49w,,32050231,wh8dvie9,9479027,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1200,1920x1075,Accepted,,0,experiment list2,23,Not on phone,Accepted,,list2,nsl_list2,1,match,Screen 4,9wlxvm,4,response,nomatch,19753.263999997765,19749.114,19753.263999997765,19753.263999997765,19749.114,19753.263999997765,1,19753.263999997765,0,0,,Keyboard Response,Keyboard Response,6,object-183,match,Frog 2.jpg,Frosk.mp4,same,same,frog,6,target,1,,,
10,1696509940799,05/10/2023 12:45:40,1696517140799,2,05/10/2023 16:45:40,142915,11,task-n49w,,32050231,wh8dvie9,9479027,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1200,1920x1075,Accepted,,0,experiment list2,23,Not on phone,Accepted,,list2,nsl_list2,1,nomatch,Screen 1,8mz8sc,1,continue,,499.8689999999988,499.8689999999988,499.8689999999988,499.8689999999988,499.8689999999988,499.8689999999988,1,499.8689999999988,0,0,,Fixation Timing,,1,object-186,nomatch,Think 2.jpg,Kysse.mp4,different,same,na,94,foil,1,,,
