Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-74d9,checkpoint-9nfr,checkpoint-33a1,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: picture,Spreadsheet: video,Spreadsheet: correct,Spreadsheet: condition,Spreadsheet: item,Spreadsheet: index,Spreadsheet: trial,Spreadsheet: randomise_trials,Manipulation: Spreadsheet,Store: correct,Store: total
1,1696583304078,06/10/2023 09:08:24,1696590504078,2,06/10/2023 13:08:24,146116,4,task-eu79,,32064835,x2vqwljt,9482437,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5.2,3440x1440,777x678,Accepted,,0,experiment list1,107,Not on phone,Accepted,,nsl_list1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,
2,1696583306527,06/10/2023 09:08:26,1696590506527,2,06/10/2023 13:08:26,146116,4,task-eu79,,32064835,x2vqwljt,9482437,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5.2,3440x1440,777x678,Accepted,,0,experiment list1,107,Not on phone,Accepted,,nsl_list1,1,instructions,Screen 1,9upwou,1,info,Video start,2010,2010,2010,2010,2010,2010,1,2010,0,0,,Video,Experimental instructions,3,object-161,instructions,,,,,,,,,,,
3,1696583307242,06/10/2023 09:08:27,1696590507242,2,06/10/2023 13:08:27,146116,4,task-eu79,,32064835,x2vqwljt,9482437,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5.2,3440x1440,777x678,Accepted,,0,experiment list1,107,Not on phone,Accepted,,nsl_list1,1,instructions,Screen 1,9upwou,1,continue,,2968,2966,2968,2968,2966,2968,1,2968,0,0,,Space To Continue,Continue Button,2,object-48,instructions,,,,,,,,,,,
4,1696583307243,06/10/2023 09:08:27,1696590507243,2,06/10/2023 13:08:27,146116,4,task-eu79,,32064835,x2vqwljt,9482437,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5.2,3440x1440,777x678,Accepted,,0,experiment list1,107,Not on phone,Accepted,,nsl_list1,1,instructions,Screen 1,9upwou,1,continue,,2968,2966,2968,2968,2966,2968,1,2968,0,0,,Space To Continue,Continue Button,2,object-48,instructions,,,,,,,,,,,
5,1696583307742,06/10/2023 09:08:27,1696590507742,2,06/10/2023 13:08:27,146116,4,task-eu79,,32064835,x2vqwljt,9482437,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5.2,3440x1440,777x678,Accepted,,0,experiment list1,107,Not on phone,Accepted,,nsl_list1,1,nomatch,Screen 1,8mz8sc,1,continue,,500,500,500,500,500,500,1,500,0,0,,Fixation Timing,,1,object-186,nomatch,Storage 2.jpg,Maskin.mp4,different,different,na,73,foil,1,,,
6,1696583308742,06/10/2023 09:08:28,1696590508742,2,06/10/2023 13:08:28,146116,4,task-eu79,,32064835,x2vqwljt,9482437,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5.2,3440x1440,777x678,Accepted,,0,experiment list1,107,Not on phone,Accepted,,nsl_list1,1,nomatch,Screen 2,zhfxqk,2,timedOut,,1002,1002,1002,1002,1002,1002,0,1002,0,0,,Time Limit,screen,0,screen,nomatch,Storage 2.jpg,Maskin.mp4,different,different,na,73,foil,1,,,
7,1696583309042,06/10/2023 09:08:29,1696590509042,2,06/10/2023 13:08:29,146116,4,task-eu79,,32064835,x2vqwljt,9482437,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5.2,3440x1440,777x678,Accepted,,0,experiment list1,107,Not on phone,Accepted,,nsl_list1,1,nomatch,Screen 3,d73ena,3,timedOut,,299,299,299,299,299,299,1,299,0,0,,Time Limit,screen,0,screen,nomatch,Storage 2.jpg,Maskin.mp4,different,different,na,73,foil,1,,,
8,1696583309298,06/10/2023 09:08:29,1696590509298,2,06/10/2023 13:08:29,146116,4,task-eu79,,32064835,x2vqwljt,9482437,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5.2,3440x1440,777x678,Accepted,,0,experiment list1,107,Not on phone,Accepted,,nsl_list1,1,nomatch,Screen 4,kfk7dt,4,info,Video start,13.660288999947568,10,13.660288999947568,13.660288999947568,10,13.660288999947568,0,13.660288999947568,0,0,,Video,video,1,object-204,nomatch,Storage 2.jpg,Maskin.mp4,different,different,na,73,foil,1,,,
9,1696583312476,06/10/2023 09:08:32,1696590512476,2,06/10/2023 13:08:32,146116,4,task-eu79,,32064835,x2vqwljt,9482437,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5.2,3440x1440,777x678,Accepted,,0,experiment list1,107,Not on phone,Accepted,,nsl_list1,1,nomatch,Screen 4,kfk7dt,4,response,nomatch,3435,3433,3435,3435,3433,3435,0,3435,0,0,,Keyboard Response,Keyboard Response,6,object-209,nomatch,Storage 2.jpg,Maskin.mp4,different,different,na,73,foil,1,,,
10,1696583312975,06/10/2023 09:08:32,1696590512975,2,06/10/2023 13:08:32,146116,4,task-eu79,,32064835,x2vqwljt,9482437,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5.2,3440x1440,777x678,Accepted,,0,experiment list1,107,Not on phone,Accepted,,nsl_list1,1,match,Screen 1,nmofvp,1,continue,,501,501,501,501,501,501,1,501,0,0,,Fixation Timing,,1,object-167,match,Pain 2.jpg,Vondt.mp4,same,different,pain,12,target,1,,,
