"","item","id","list","trial","language","condition","cognate","correct","rt","norsk_log","rusisk_log","freq","freq_bin","wordclass","homophone","boundedness","plurality","Familiarity","Iconicity","Use","fam_bin","icon_bin","use_bin","learned","peers","practice","age","handedness","hearing","deafbirth","exposure"
"1","beauty","9631781","nsl_list1","33","nsl","aligned","cognate",1,3396.00000000023,1.82,2.03,1.07,"high","noun","near","inanimate","abstract",7,7,"yes","high","high","high","other","no","often",81,"right","serious","no","19"
"2","beauty","9687063","nsl_list1","26","nsl","aligned","cognate",0,5945,1.82,2.03,1.07,"high","noun","near","inanimate","abstract",7,3,"yes","high","low","high","parents","no","daily",23,"right","serious","no","0"
"3","beauty","9479413","nsl_list1","21","nsl","aligned","cognate",0,4802.14699995233,1.82,2.03,1.07,"high","noun","near","inanimate","abstract",7,1,"yes","high","low","high","other","yes","daily",55,"right","serious","no","16"
"4","beauty","9482437","nsl_list1","19","nsl","aligned","cognate",1,1030,1.82,2.03,1.07,"high","noun","near","inanimate","abstract",7,7,"yes","high","high","high","school","yes","daily",70,"right","serious","no","8"
"5","beauty","9498903","nsl_list1","37","nsl","aligned","cognate",0,1515.21999990463,1.82,2.03,1.07,"high","noun","near","inanimate","abstract",7,2,"yes","high","low","high","school","yes","daily",49,"right","serious","no","18"
"6","beauty","9477538","nsl_list2","47","nsl","nonaligned","cognate",0,2278.14099990466,1.82,2.03,1.07,"high","noun","near","inanimate","abstract",2,1,"no","low","low","low","other","no","daily",37,"right","serious","yes","17"
"7","beauty","9612157","nsl_list1","18","nsl","aligned","cognate",1,314.204999976151,1.82,2.03,1.07,"high","noun","near","inanimate","abstract",7,7,"yes","high","high","high","school","yes","daily",28,"left","serious","yes","5"
"8","beauty","9685656","nsl_list2","1","nsl","nonaligned","cognate",0,2230.521,1.82,2.03,1.07,"high","noun","near","inanimate","abstract",4,1,"no","low","low","low","parents","yes","daily",48,"right","serious","yes","2"
"9","beauty","9479027","nsl_list2","9","nsl","nonaligned","cognate",0,3515.28299999851,1.82,2.03,1.07,"high","noun","near","inanimate","abstract",7,6,"yes","high","high","high","parents","yes","daily",48,"right","serious","yes","1"
"10","beauty","9696122","nsl_list1","11","nsl","aligned","cognate",0,1247.35799999999,1.82,2.03,1.07,"high","noun","near","inanimate","abstract",1,1,"no","low","low","low","parents","yes","daily",34,"right","serious","yes","1"
"11","beauty","9476778","nsl_list1","35","nsl","aligned","cognate",0,2250.94500000594,1.82,2.03,1.07,"high","noun","near","inanimate","abstract",7,4,"yes","high","low","high","parents","yes","daily",46,"right","considerable","yes","0"
"12","beauty","9481563","nsl_list2","21","nsl","nonaligned","cognate",0,9643.12000000593,1.82,2.03,1.07,"high","noun","near","inanimate","abstract",7,3,"yes","high","low","high","parents","yes","daily",50,"right","serious","yes","1"
"13","beauty","9647566","nsl_list1","19","nsl","aligned","cognate",1,2566.83699999403,1.82,2.03,1.07,"high","noun","near","inanimate","abstract",7,7,"yes","high","high","high","other","no","often",81,"right","serious","no","19"
"14","beauty","9493027","nsl_list2","7","nsl","nonaligned","cognate",0,882.624999999629,1.82,2.03,1.07,"high","noun","near","inanimate","abstract",7,2,"no","high","low","low","parents","yes","daily",31,"right","considerable","no","2"
"15","beauty","9481525","nsl_list1","30","nsl","aligned","cognate",1,5255.41499998211,1.82,2.03,1.07,"high","noun","near","inanimate","abstract",7,6,"yes","high","high","high","caregiver","yes","daily",53,"right","serious","yes","48"
"16","beauty","9368241","nsl_list2","11","nsl","nonaligned","cognate",1,1907.94500000894,1.82,2.03,1.07,"high","noun","near","inanimate","abstract",7,5,"yes","high","low","high","other","yes","daily",37,"right","serious","yes","0.5"
"17","beauty","9481529","nsl_list2","22","nsl","nonaligned","cognate",0,6707.70600002387,1.82,2.03,1.07,"high","noun","near","inanimate","abstract",7,5,"yes","high","low","high","other","yes","daily",43,"right","serious","no","3.5"
"18","beauty","9462565","nsl_list1","12","nsl","aligned","cognate",1,1916,1.82,2.03,1.07,"high","noun","near","inanimate","abstract",7,1,"yes","high","low","high","parents","yes","daily",42,"right","serious","yes","0"
"19","beauty","9477675","nsl_list2","13","nsl","nonaligned","cognate",0,4069.92100001193,1.82,2.03,1.07,"high","noun","near","inanimate","abstract",7,5,"yes","high","low","high","other","yes","daily",41,"right","serious","no","3"
"20","beauty","9483072","nsl_list2","47","nsl","nonaligned","cognate",0,4562.62700000074,1.82,2.03,1.07,"high","noun","near","inanimate","abstract",7,7,"yes","high","high","high","school","no","daily",45,"left","serious","no","14"
"21","beauty","9477400","nsl_list2","10","nsl","nonaligned","cognate",1,2770.23600009538,1.82,2.03,1.07,"high","noun","near","inanimate","abstract",7,5,"yes","high","low","high","other","yes","daily",44,"right","serious","yes","1"
"22","beauty","9555238","rsl_list2","28","rsl","aligned","cognate",1,1346.03099999402,1.82,2.03,1.62,"high","noun","near","inanimate","abstract",2,1,"no","low","low","low","caregiver","no","daily",13,"right","mild","no","0"
"23","beauty","9498014","rsl_list2","2","rsl","aligned","cognate",1,5110.321,1.82,2.03,1.62,"high","noun","near","inanimate","abstract",6,1,"yes","low","low","high","other","no","daily",44,"right","considerable","no","16"
"24","beauty","9472740","rsl_list2","20","rsl","aligned","cognate",1,1231.28899999405,1.82,2.03,1.62,"high","noun","near","inanimate","abstract",7,1,"yes","high","low","high","other","yes","daily",24,"right","moderate","yes","7"
"25","beauty","9473190","rsl_list2","15","rsl","aligned","cognate",1,7489.70600000001,1.82,2.03,1.62,"high","noun","near","inanimate","abstract",7,1,"yes","high","low","high","school","yes","daily",49,"right","serious","no","7"
"26","beauty","9492137","rsl_list1","20","rsl","nonaligned","cognate",0,2849.68599999999,1.82,2.03,1.62,"high","noun","near","inanimate","abstract",7,1,"yes","high","low","high","other","yes","daily",28,"right","moderate","no","3"
"27","beauty","9473775","rsl_list2","35","rsl","aligned","cognate",0,2317.79999999999,1.82,2.03,1.62,"high","noun","near","inanimate","abstract",1,1,"no","low","low","low","school","yes","daily",44,"right","considerable","no","7"
"28","beauty","9476587","rsl_list2","18","rsl","aligned","cognate",1,1276,1.82,2.03,1.62,"high","noun","near","inanimate","abstract",6,1,"yes","low","low","high","school","yes","daily",25,"right","serious","yes","5"
"29","beauty","9489076","rsl_list2","47","rsl","aligned","cognate",1,445.653999809292,1.82,2.03,1.62,"high","noun","near","inanimate","abstract",7,1,"yes","high","low","high","parents","yes","daily",38,"right","serious","no","1"
"30","beauty","9483913","rsl_list1","8","rsl","nonaligned","cognate",1,2429.60600000148,1.82,2.03,1.62,"high","noun","near","inanimate","abstract",7,1,"yes","high","low","high","parents","yes","daily",37,"right","considerable","yes","0"
"31","beauty","9454658","rsl_list1","46","rsl","nonaligned","cognate",0,1435,1.82,2.03,1.62,"high","noun","near","inanimate","abstract",7,1,"yes","high","low","high","other","yes","daily",29,"right","serious","no","5"
"32","beauty","9479813","rsl_list2","22","rsl","aligned","cognate",1,493.585999998497,1.82,2.03,1.62,"high","noun","near","inanimate","abstract",7,1,"yes","high","low","high","parents","yes","daily",35,"right","considerable","no","0"
"33","beauty","9455706","rsl_list1","4","rsl","nonaligned","cognate",0,2358.22299999963,1.82,2.03,1.62,"high","noun","near","inanimate","abstract",4,1,"no","low","low","low","other","yes","daily",31,"right","considerable","no","7"
"34","beauty","9454567","rsl_list2","20","rsl","aligned","cognate",1,1452.02699999994,1.82,2.03,1.62,"high","noun","near","inanimate","abstract",7,1,"yes","high","low","high","school","yes","daily",38,"right","serious","yes","6"
"35","beauty","9458431","rsl_list2","24","rsl","aligned","cognate",1,1375.0409999523,1.82,2.03,1.62,"high","noun","near","inanimate","abstract",7,1,"yes","high","low","high","parents","yes","daily",38,"right","serious","yes","0"
"36","beauty","9473110","rsl_list1","20","rsl","nonaligned","cognate",0,1632.67299999925,1.82,2.03,1.62,"high","noun","near","inanimate","abstract",7,1,"yes","high","low","high","other","yes","daily",36,"right","serious","yes","3.5"
"37","beauty","9377336","rsl_list2","27","rsl","aligned","cognate",1,1403.05799995229,1.82,2.03,1.62,"high","noun","near","inanimate","abstract",7,1,"yes","high","low","high","school","yes","daily",48,"right","serious","no","6.5"
"38","beauty","9483878","rsl_list1","24","rsl","nonaligned","cognate",1,2574.06,1.82,2.03,1.62,"high","noun","near","inanimate","abstract",7,1,"yes","high","low","high","parents","yes","daily",42,"right","considerable","yes","0"
"39","beauty","9482266","rsl_list1","28","rsl","nonaligned","cognate",1,2195.27800001192,1.82,2.03,1.62,"high","noun","near","inanimate","abstract",7,1,"yes","high","low","high","other","no","daily",35,"right","considerable","no","15"
"40","beauty","9537479","rsl_list2","27","rsl","aligned","cognate",1,1452.5,1.82,2.03,1.62,"high","noun","near","inanimate","abstract",7,1,"yes","high","low","high","parents","yes","daily",43,"right","serious","yes","0"
"41","beauty","9476391","rsl_list2","19","rsl","aligned","cognate",0,1557.11299999998,1.82,2.03,1.62,"high","noun","near","inanimate","abstract",7,1,"yes","high","low","high","parents","yes","daily",32,"right","serious","no","2"
"42","beauty","9541537","rsl_list1","22","rsl","nonaligned","cognate",1,1037.96700000446,1.82,2.03,1.62,"high","noun","near","inanimate","abstract",7,1,"yes","high","low","high","parents","yes","daily",34,"right","moderate","yes","0"
"43","beauty","9503065","rsl_list1","8","rsl","nonaligned","cognate",1,4084.04600000002,1.82,2.03,1.62,"high","noun","near","inanimate","abstract",7,1,"yes","high","low","high","parents","yes","daily",36,"right","considerable","yes","0"
"44","beauty","9555631","rsl_list1","27","rsl","nonaligned","cognate",1,1585.62000000593,1.82,2.03,1.62,"high","noun","near","inanimate","abstract",7,1,"yes","high","low","high","other","no","daily",33,"right","considerable","yes","28"
"45","beauty","9587228","rsl_list1","17","rsl","nonaligned","cognate",0,2304.98800000001,1.82,2.03,1.62,"high","noun","near","inanimate","abstract",7,1,"yes","high","low","high","parents","yes","daily",61,"right","considerable","no","0"
"46","book","9479413","nsl_list1","7","nsl","aligned","cognate",0,2393.67399990463,2.55,2.67,0.6,"low","noun","exact","inanimate","concrete",7,7,"yes","high","high","high","other","yes","daily",55,"right","serious","no","16"
"47","book","9696122","nsl_list1","20","nsl","aligned","cognate",1,220.337000002968,2.55,2.67,0.6,"low","noun","exact","inanimate","concrete",7,7,"yes","high","high","high","parents","yes","daily",34,"right","serious","yes","1"
"48","book","9493027","nsl_list2","6","nsl","nonaligned","cognate",0,1148.40999999944,2.55,2.67,0.6,"low","noun","exact","inanimate","concrete",7,7,"yes","high","high","high","parents","yes","daily",31,"right","considerable","no","2"
"49","book","9477400","nsl_list2","14","nsl","nonaligned","cognate",1,1329.96300004769,2.55,2.67,0.6,"low","noun","exact","inanimate","concrete",7,7,"yes","high","high","high","other","yes","daily",44,"right","serious","yes","1"
"50","book","9612157","nsl_list1","2","nsl","aligned","cognate",1,1665.05499996424,2.55,2.67,0.6,"low","noun","exact","inanimate","concrete",7,7,"yes","high","high","high","school","yes","daily",28,"left","serious","yes","5"
"51","book","9481529","nsl_list2","20","nsl","nonaligned","cognate",1,1217.36300002385,2.55,2.67,0.6,"low","noun","exact","inanimate","concrete",7,7,"yes","high","high","high","other","yes","daily",43,"right","serious","no","3.5"
"52","book","9685656","nsl_list2","45","nsl","nonaligned","cognate",1,1951.69300000003,2.55,2.67,0.6,"low","noun","exact","inanimate","concrete",7,7,"yes","high","high","high","parents","yes","daily",48,"right","serious","yes","2"
"53","book","9477675","nsl_list2","17","nsl","nonaligned","cognate",1,1511.95999999999,2.55,2.67,0.6,"low","noun","exact","inanimate","concrete",7,7,"yes","high","high","high","other","yes","daily",41,"right","serious","no","3"
"54","book","9482437","nsl_list1","38","nsl","aligned","cognate",1,1008,2.55,2.67,0.6,"low","noun","exact","inanimate","concrete",7,7,"yes","high","high","high","school","yes","daily",70,"right","serious","no","8"
"55","book","9481563","nsl_list2","40","nsl","nonaligned","cognate",1,1207.52000000596,2.55,2.67,0.6,"low","noun","exact","inanimate","concrete",7,7,"yes","high","high","high","parents","yes","daily",50,"right","serious","yes","1"
"56","book","9631781","nsl_list1","31","nsl","aligned","cognate",1,10004,2.55,2.67,0.6,"low","noun","exact","inanimate","concrete",7,7,"yes","high","high","high","other","no","often",81,"right","serious","no","19"
"57","book","9462565","nsl_list1","19","nsl","aligned","cognate",1,1132,2.55,2.67,0.6,"low","noun","exact","inanimate","concrete",7,7,"yes","high","high","high","parents","yes","daily",42,"right","serious","yes","0"
"58","book","9687063","nsl_list1","10","nsl","aligned","cognate",1,1247,2.55,2.67,0.6,"low","noun","exact","inanimate","concrete",7,7,"yes","high","high","high","parents","no","daily",23,"right","serious","no","0"
"59","book","9498903","nsl_list1","25","nsl","aligned","cognate",1,863.900000286114,2.55,2.67,0.6,"low","noun","exact","inanimate","concrete",7,7,"yes","high","high","high","school","yes","daily",49,"right","serious","no","18"
"60","book","9368241","nsl_list2","35","nsl","nonaligned","cognate",1,2827.81999999704,2.55,2.67,0.6,"low","noun","exact","inanimate","concrete",7,7,"yes","high","high","high","other","yes","daily",37,"right","serious","yes","0.5"
"61","book","9477538","nsl_list2","35","nsl","nonaligned","cognate",1,1035.77100000001,2.55,2.67,0.6,"low","noun","exact","inanimate","concrete",7,7,"yes","high","high","high","other","no","daily",37,"right","serious","yes","17"
"62","book","9479027","nsl_list2","40","nsl","nonaligned","cognate",1,2483.5,2.55,2.67,0.6,"low","noun","exact","inanimate","concrete",7,7,"yes","high","high","high","parents","yes","daily",48,"right","serious","yes","1"
