Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-j45v,branch-cyxv,checkpoint-t1lc,checkpoint-isbn,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: item,Spreadsheet: rsl_id_gloss,Spreadsheet: video_name,Spreadsheet: picture_name,Manipulation: Spreadsheet,Store: progress
1,1696427994276,04/10/2023 13:59:54,1696438794276,3,04/10/2023 19:59:54,142916,11,task-1v1w,,32031939,7kzfhvxw,9473190,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1440x900,1437x710,Accepted,,0,familiarity ratings,17,rsl_list2,Not on phone,,Accepted,survey_list,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,
2,1696428153501,04/10/2023 14:02:33,1696438953501,3,04/10/2023 20:02:33,142916,11,task-1v1w,,32031939,7kzfhvxw,9473190,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1440x900,1437x710,Accepted,,0,familiarity ratings,17,rsl_list2,Not on phone,,Accepted,survey_list,1,Instructions,Screen 1,apt9h7,1,continue,,157487.40500000003,157470.69400000002,157487.40500000003,157487.40500000003,157470.69400000002,157487.40500000003,1,157487.40500000003,0,0,,Click To Continue,Continue Button,2,object-4,Instructions,,,,,,
3,1696428153691,04/10/2023 14:02:33,1696438953691,3,04/10/2023 20:02:33,142916,11,task-1v1w,,32031939,7kzfhvxw,9473190,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1440x900,1437x710,Accepted,,0,familiarity ratings,17,rsl_list2,Not on phone,,Accepted,survey_list,1,trial,Screen 1,9lhd9n,1,info,Video start,212.72400000297185,200.53199999997742,212.72400000297185,212.72400000297185,200.53199999997742,212.72400000297185,1,212.72400000297185,0,0,,Video,Video,2,object-8,trial,cabbage,капуста,1.mp4,Cabbage 2.jpg,,1
4,1696428181476,04/10/2023 14:03:01,1696438981476,3,04/10/2023 20:03:01,142916,11,task-1v1w,,32031939,7kzfhvxw,9473190,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1440x900,1437x710,Accepted,,0,familiarity ratings,17,rsl_list2,Not on phone,,Accepted,survey_list,1,trial,Screen 1,9lhd9n,1,continue,,27988.741000004462,27974.713999999978,27988.741000004462,27988.741000004462,27974.713999999978,27988.741000004462,1,27988.741000004462,0,0,,Click To Continue,Continue Button,10,object-24,trial,cabbage,капуста,1.mp4,Cabbage 2.jpg,,2
5,1696428181480,04/10/2023 14:03:01,1696438981480,3,04/10/2023 20:03:01,142916,11,task-1v1w,,32031939,7kzfhvxw,9473190,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1440x900,1437x710,Accepted,,0,familiarity ratings,17,rsl_list2,Not on phone,,Accepted,survey_list,1,trial,Screen 1,9lhd9n,1,response,7,8238.645999999979,27974.713999999978,27991.42499999996,8238.645999999979,27974.713999999978,27991.42499999996,1,8238.645999999979,19752.77899999998,0,,Rating Scale,Familiarity,5,object-10,trial,cabbage,капуста,1.mp4,Cabbage 2.jpg,,3
6,1696428181482,04/10/2023 14:03:01,1696438981482,3,04/10/2023 20:03:01,142916,11,task-1v1w,,32031939,7kzfhvxw,9473190,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1440x900,1437x710,Accepted,,0,familiarity ratings,17,rsl_list2,Not on phone,,Accepted,survey_list,1,trial,Screen 1,9lhd9n,1,response,yes,11480.579999999987,27974.713999999978,27991.42499999996,11480.579999999987,27974.713999999978,27991.42499999996,1,11480.579999999987,16510.844999999972,0,,Rating Scale,Use,7,object-12,trial,cabbage,капуста,1.mp4,Cabbage 2.jpg,,4
7,1696428181483,04/10/2023 14:03:01,1696438981483,3,04/10/2023 20:03:01,142916,11,task-1v1w,,32031939,7kzfhvxw,9473190,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1440x900,1437x710,Accepted,,0,familiarity ratings,17,rsl_list2,Not on phone,,Accepted,survey_list,1,trial,Screen 1,9lhd9n,1,response,7,26236.598999999987,27974.713999999978,27991.42499999996,26236.598999999987,27974.713999999978,27991.42499999996,1,26236.598999999987,1754.8259999999718,0,,Rating Scale,Similarity,9,object-14,trial,cabbage,капуста,1.mp4,Cabbage 2.jpg,,5
8,1696428181869,04/10/2023 14:03:01,1696438981869,3,04/10/2023 20:03:01,142916,11,task-1v1w,,32031939,7kzfhvxw,9473190,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1440x900,1437x710,Accepted,,0,familiarity ratings,17,rsl_list2,Not on phone,,Accepted,survey_list,2,trial,Screen 1,9lhd9n,1,info,Video start,250.41600000150362,233.9539999999106,250.41600000150362,250.41600000150362,233.9539999999106,250.41600000150362,1,250.41600000150362,0,0,,Video,Video,2,object-8,trial,engagement,помолвка,2.mp4,Engagement 2.jpg,,6
9,1696428192292,04/10/2023 14:03:12,1696438992292,3,04/10/2023 20:03:12,142916,11,task-1v1w,,32031939,7kzfhvxw,9473190,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1440x900,1437x710,Accepted,,0,familiarity ratings,17,rsl_list2,Not on phone,,Accepted,survey_list,2,trial,Screen 1,9lhd9n,1,continue,,10839.027000004484,10828.890000000014,10839.027000004484,10839.027000004484,10828.890000000014,10839.027000004484,1,10839.027000004484,0,0,,Click To Continue,Continue Button,10,object-24,trial,engagement,помолвка,2.mp4,Engagement 2.jpg,,7
10,1696428192299,04/10/2023 14:03:12,1696438992299,3,04/10/2023 20:03:12,142916,11,task-1v1w,,32031939,7kzfhvxw,9473190,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1440x900,1437x710,Accepted,,0,familiarity ratings,17,rsl_list2,Not on phone,,Accepted,survey_list,2,trial,Screen 1,9lhd9n,1,response,7,4695.7910000000265,10828.890000000014,10845.601000000024,4695.7910000000265,10828.890000000014,10845.601000000024,1,4695.7910000000265,6149.809999999998,0,,Rating Scale,Familiarity,5,object-10,trial,engagement,помолвка,2.mp4,Engagement 2.jpg,,8
