Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-j45v,branch-cyxv,checkpoint-t1lc,checkpoint-isbn,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: picture,Spreadsheet: video,Spreadsheet: condition,Spreadsheet: correct,Spreadsheet: trial,Spreadsheet: item,Spreadsheet: index,Spreadsheet: randomise_trials,Manipulation: Spreadsheet,Store: correct,Store: total
1,1696489699438,05/10/2023 07:08:19,1696500499438,3,05/10/2023 13:08:19,142916,11,task-tfo5,,32042153,jsvsplhz,9476391,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1366x625,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,
2,1696489703576,05/10/2023 07:08:23,1696500503576,3,05/10/2023 13:08:23,142916,11,task-tfo5,,32042153,jsvsplhz,9476391,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1366x625,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,1,instructions,Screen 1,9upwou,1,info,Video start,2009.4149999999527,2003.7710000000006,2009.4149999999527,2009.4149999999527,2003.7710000000006,2009.4149999999527,1,2009.4149999999527,0,0,,Video,Experimental instructions,3,object-161,instructions,,,,,,,,,,,
3,1696489722358,05/10/2023 07:08:42,1696500522358,3,05/10/2023 13:08:42,142916,11,task-tfo5,,32042153,jsvsplhz,9476391,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1366x625,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,1,instructions,Screen 1,9upwou,1,continue,,20796.150000000092,20782.351,20796.150000000092,20796.150000000092,20782.351,20796.150000000092,1,20796.150000000092,0,0,,Space To Continue,Continue Button,2,object-48,instructions,,,,,,,,,,,
4,1696489722365,05/10/2023 07:08:42,1696500522365,3,05/10/2023 13:08:42,142916,11,task-tfo5,,32042153,jsvsplhz,9476391,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1366x625,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,1,instructions,Screen 1,9upwou,1,continue,,20799.050999999996,20782.351,20799.050999999996,20799.050999999996,20782.351,20799.050999999996,1,20799.050999999996,0,0,,Space To Continue,Continue Button,2,object-48,instructions,,,,,,,,,,,
5,1696489722847,05/10/2023 07:08:42,1696500522847,3,05/10/2023 13:08:42,142916,11,task-tfo5,,32042153,jsvsplhz,9476391,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1366x625,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,1,match,Screen 1,nmofvp,1,continue,,502.4470000000001,502.4470000000001,502.4470000000001,502.4470000000001,502.4470000000001,502.4470000000001,1,502.4470000000001,0,0,,Fixation Timing,,1,object-167,match,Jump 1.jpg,39.mp4,different,same,target,jump,39,1,,,
6,1696489723850,05/10/2023 07:08:43,1696500523850,3,05/10/2023 13:08:43,142916,11,task-tfo5,,32042153,jsvsplhz,9476391,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1366x625,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,1,match,Screen 2,pevo7u,2,timedOut,,1003.6520000001401,1001.4259999999995,1003.6520000001401,1003.6520000001401,1001.4259999999995,1003.6520000001401,0,1003.6520000001401,0,0,,Time Limit,screen,0,screen,match,Jump 1.jpg,39.mp4,different,same,target,jump,39,1,,,
7,1696489724149,05/10/2023 07:08:44,1696500524149,3,05/10/2023 13:08:44,142916,11,task-tfo5,,32042153,jsvsplhz,9476391,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1366x625,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,1,match,Screen 3,z1irvt,3,timedOut,,301.92600000009406,300.81700000000274,301.92600000009406,301.92600000009406,300.81700000000274,301.92600000009406,1,301.92600000009406,0,0,,Time Limit,screen,0,screen,match,Jump 1.jpg,39.mp4,different,same,target,jump,39,1,,,
8,1696489724217,05/10/2023 07:08:44,1696500524217,3,05/10/2023 13:08:44,142916,11,task-tfo5,,32042153,jsvsplhz,9476391,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1366x625,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,1,match,Screen 4,9wlxvm,4,info,Video start,68.20300000004477,66.82499999999709,68.20300000004477,68.20300000004477,66.82499999999709,68.20300000004477,1,68.20300000004477,0,0,,Video,video,1,object-178,match,Jump 1.jpg,39.mp4,different,same,target,jump,39,1,,,
9,1696489727693,05/10/2023 07:08:47,1696500527693,3,05/10/2023 13:08:47,142916,11,task-tfo5,,32042153,jsvsplhz,9476391,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1366x625,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,1,match,Screen 4,9wlxvm,4,response,match,3541.728000000003,3525.0679999999993,3541.728000000003,3541.728000000003,3525.0679999999993,3541.728000000003,1,3541.728000000003,0,0,,Keyboard Response,Keyboard Response,6,object-183,match,Jump 1.jpg,39.mp4,different,same,target,jump,39,1,,,
10,1696489728175,05/10/2023 07:08:48,1696500528175,3,05/10/2023 13:08:48,142916,11,task-tfo5,,32042153,jsvsplhz,9476391,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1366x625,Accepted,,0,rsl experimental trials list2,17,rsl_list2,Not on phone,,Accepted,rsl_list2,2,match,Screen 1,nmofvp,1,continue,,501.11999999999534,501.11999999999534,501.11999999999534,501.11999999999534,501.11999999999534,501.11999999999534,1,501.11999999999534,0,0,,Fixation Timing,,1,object-167,match,Doubt 1.jpg,15.mp4,different,same,target,doubt,15,1,,,
